UserID,total_events,unique_sessions,page_views,add_to_cart,purchases,first_event,last_event,avg_amount,total_amount,conversion_rate,cart_rate,session_activity,engagement_days,recency_days
33,74,10,18,15,9,2024-01-03 22:41:26.544427,2024-07-21 09:36:50.879126,256.9631330829747,2312.6681977467724,0.9,0.8333,7.4,199,4
34,72,10,11,15,6,2024-01-01 00:54:00.409730,2024-07-22 09:12:25.793028,233.99235384023734,1403.954123041424,0.6,1.3636,7.2,203,3
35,77,10,8,7,13,2024-01-03 04:01:10.942740,2024-07-23 18:14:23.662153,259.0916193211187,3368.1910511745427,1.3,0.875,7.7,202,1
36,81,10,11,12,9,2024-01-04 09:38:06.761937,2024-07-16 15:22:25.467675,217.29278110499178,1955.635029944926,0.9,1.0909,8.1,194,8
37,74,10,14,6,9,2024-01-02 19:26:55.865382,2024-07-23 06:09:25.211811,271.4927170392168,2443.434453352951,0.9,0.4286,7.4,202,2
38,80,10,10,15,10,2024-01-04 19:00:20.436461,2024-07-24 02:34:58.507252,231.72021206372727,2317.202120637273,1.0,1.5,8.0,201,1
39,77,10,12,15,14,2024-01-03 05:52:09.689842,2024-07-21 15:00:25.643827,239.03589019012557,3346.502462661758,1.4,1.25,7.7,200,3
40,73,10,10,12,12,2024-01-08 16:24:18.731367,2024-07-21 04:05:05.864210,232.11853031540173,2785.422363784821,1.2,1.2,7.3,194,4
41,70,10,15,9,6,2024-01-03 07:52:51.358007,2024-07-24 03:13:42.941401,277.62794282796057,1665.7676569677635,0.6,0.6,7.0,202,1
42,71,10,13,10,9,2024-01-01 21:09:42.537884,2024-07-22 16:18:50.862142,215.5995432592389,1940.3958893331503,0.9,0.7692,7.1,202,2
43,66,10,11,9,11,2024-01-01 06:31:42.226902,2024-07-21 15:30:39.621348,274.8592679657617,3023.451947623379,1.1,0.8182,6.6,202,3
44,81,10,19,14,5,2024-01-01 07:05:21.209369,2024-07-18 16:04:49.395741,300.09785081358973,1500.4892540679487,0.5,0.7368,8.1,199,6
45,74,10,8,14,14,2024-01-01 13:01:54.651438,2024-07-05 04:41:25.349248,292.44757124071856,4094.26599737006,1.4,1.75,7.4,185,20
46,72,10,13,10,9,2024-01-01 08:14:07.237998,2024-07-24 00:35:13.913334,343.91987742943525,3095.2788968649174,0.9,0.7692,7.2,204,1
47,68,10,8,7,8,2024-01-04 11:40:56.922561,2024-07-22 12:08:08.720833,204.1407505517626,1633.1260044141009,0.8,0.875,6.8,200,2
48,75,10,12,11,11,2024-01-03 20:52:05.067371,2024-07-23 12:11:06.611008,221.8918061352014,2440.8098674872153,1.1,0.9167,7.5,201,1
49,67,10,12,9,7,2024-01-05 14:11:04.763690,2024-07-21 02:42:21.028663,208.48291984229078,1459.3804388960355,0.7,0.75,6.7,197,4
50,75,10,11,6,14,2024-01-01 14:43:13.300688,2024-07-23 18:03:30.645000,247.88936972193414,3470.451176107078,1.4,0.5455,7.5,204,1
51,82,10,14,15,8,2024-01-04 02:46:55.780131,2024-07-23 17:27:12.262050,229.1985354622763,1833.5882836982105,0.8,1.0714,8.2,201,1
52,79,10,11,12,10,2024-01-01 03:47:38.153057,2024-07-24 07:12:35.685850,187.75465040699765,1877.5465040699767,1.0,1.0909,7.9,205,1
53,78,10,8,14,16,2024-01-02 16:24:48.071381,2024-07-22 10:24:18.232807,249.0147364152226,3984.2357826435614,1.6,1.75,7.8,201,2
54,85,10,19,6,16,2024-01-08 01:55:14.267910,2024-07-20 12:03:00.363456,134.58527664648108,2153.3644263436972,1.6,0.3158,8.5,194,4
55,76,10,11,15,7,2024-01-02 16:19:01.150792,2024-07-22 10:22:41.475416,204.4948216115766,1431.4637512810364,0.7,1.3636,7.6,201,2
56,74,10,16,9,8,2024-01-01 03:27:36.916354,2024-07-23 08:55:58.782038,261.4244555932316,2091.3956447458527,0.8,0.5625,7.4,204,2
57,69,10,7,16,12,2024-01-03 14:41:02.111577,2024-07-20 02:36:46.247803,280.69810298868015,3368.377235864162,1.2,2.2857,6.9,198,5
58,66,10,7,8,7,2024-01-03 07:16:11.077455,2024-07-18 21:04:29.511721,222.1463407335808,1555.0243851350656,0.7,1.1429,6.6,197,6
59,71,10,11,10,11,2024-01-02 22:06:22.146800,2024-07-22 06:16:52.232855,275.57325411100436,3031.305795221048,1.1,0.9091,7.1,201,3
60,80,10,10,12,8,2024-01-02 08:42:50.101200,2024-07-22 01:48:36.267342,212.64617735586424,1701.169418846914,0.8,1.2,8.0,201,3
61,62,10,11,4,10,2024-01-02 08:36:50.199414,2024-07-17 10:11:05.897635,301.56869613465017,3015.686961346502,1.0,0.3636,6.2,197,8
62,80,10,14,12,9,2024-01-01 08:53:11.512640,2024-07-23 08:06:42.514227,231.37620591687696,2082.3858532518925,0.9,0.8571,8.0,203,2
63,71,10,9,13,9,2024-01-01 04:59:11.792573,2024-07-21 03:36:52.292523,257.8488851808363,2320.639966627527,0.9,1.4444,7.1,201,4
64,76,10,5,12,12,2024-01-05 02:49:41.936623,2024-07-24 05:09:45.305011,322.1821135862488,3866.185363034986,1.2,2.4,7.6,201,1
65,85,10,11,8,14,2024-01-03 08:54:26.396374,2024-07-22 20:09:59.888771,206.86385215272958,2896.093930138214,1.4,0.7273,8.5,201,2
66,75,10,7,11,10,2024-01-02 01:51:27.137925,2024-07-23 13:09:47.062947,290.92735543314274,2909.2735543314275,1.0,1.5714,7.5,203,1
67,76,10,14,9,12,2024-01-01 17:27:14.108035,2024-07-17 02:29:51.491129,214.6440475319649,2575.7285703835787,1.2,0.6429,7.6,197,8
68,80,10,8,11,9,2024-01-03 04:17:01.136221,2024-07-23 22:32:10.618905,260.40371851279656,2343.633466615169,0.9,1.375,8.0,202,1
69,68,10,11,11,11,2024-01-03 14:05:42.003201,2024-07-20 17:11:20.404306,260.74359747467315,2868.1795722214047,1.1,1.0,6.8,199,4
70,80,10,6,14,12,2024-01-12 18:58:09.246712,2024-07-21 18:19:42.076866,309.8552854856695,3718.263425828034,1.2,2.3333,8.0,190,3
71,77,10,18,10,11,2024-01-01 22:25:31.081922,2024-07-24 07:29:46.397448,266.0580088047381,2926.638096852119,1.1,0.5556,7.7,204,1
72,75,10,14,12,7,2024-01-05 09:32:40.935739,2024-07-23 07:57:37.260474,201.28251812086782,1408.9776268460748,0.7,0.8571,7.5,199,2
73,71,10,8,14,6,2024-01-03 04:05:28.584412,2024-07-23 14:56:10.095941,140.2242667208692,841.3456003252152,0.6,1.75,7.1,202,1
74,63,10,5,11,11,2024-01-05 02:56:26.758266,2024-07-21 16:04:03.273871,304.1410293228735,3345.551322551609,1.1,2.2,6.3,198,3
75,67,10,8,12,9,2024-01-01 12:37:44.061696,2024-07-18 07:58:01.013298,279.32214344245506,2513.8992909820954,0.9,1.5,6.7,198,7
76,77,10,9,15,8,2024-01-02 06:30:18.142640,2024-07-17 17:18:02.899459,245.29637842293153,1962.3710273834522,0.8,1.6667,7.7,197,7
77,74,10,12,7,11,2024-01-02 02:48:00.930518,2024-07-24 08:55:04.644344,235.53587754895642,2590.8946530385206,1.1,0.5833,7.4,204,1
78,71,10,8,9,9,2024-01-01 18:58:53.909108,2024-07-24 09:06:20.423971,259.06308651011625,2331.567778591046,0.9,1.125,7.1,204,1
79,77,10,12,9,12,2024-01-05 17:13:12.466483,2024-07-14 08:16:03.592254,179.57469728132514,2154.8963673759017,1.2,0.75,7.7,190,11
80,65,10,9,8,13,2024-01-03 03:01:35.475932,2024-07-15 19:52:03.387556,204.52880636984875,2658.874482808034,1.3,0.8889,6.5,194,9
81,71,10,6,13,8,2024-01-04 11:36:05.042999,2024-07-23 15:11:04.184978,295.3153660277184,2362.5229282217474,0.8,2.1667,7.1,201,1
82,75,10,12,17,8,2024-01-02 11:54:01.766505,2024-07-24 06:32:04.936476,303.22918849182565,2425.833507934605,0.8,1.4167,7.5,203,1
83,75,10,19,19,7,2024-01-02 17:34:10.564408,2024-07-23 20:30:50.545877,268.97639392163967,1882.8347574514778,0.7,1.0,7.5,203,1
84,77,10,8,9,11,2024-01-02 06:34:52.954062,2024-07-21 20:02:28.878690,308.7250530317912,3395.9755833497034,1.1,1.125,7.7,201,3
85,76,10,9,14,11,2024-01-02 11:13:32.919769,2024-07-23 02:08:06.248539,311.7187418258013,3428.9061600838145,1.1,1.5556,7.6,202,2
86,71,10,9,8,12,2024-01-03 12:57:16.147598,2024-07-24 06:13:11.875187,270.5839991141259,3247.0079893695106,1.2,0.8889,7.1,202,1
87,74,10,5,11,12,2024-01-03 21:32:00.747073,2024-07-23 01:49:02.215973,174.2045072851131,2090.454087421357,1.2,2.2,7.4,201,2
88,69,10,10,8,18,2024-01-10 05:08:48.588966,2024-07-21 13:35:56.648532,162.5947637071573,2926.705746728832,1.8,0.8,6.9,193,3
89,68,10,9,5,10,2024-01-07 10:04:00.815048,2024-07-14 17:53:42.972497,249.25599283654637,2492.5599283654637,1.0,0.5556,6.8,189,10
90,70,10,12,10,11,2024-01-03 23:03:58.893476,2024-07-22 02:54:00.177647,259.88481851787776,2858.7330036966555,1.1,0.8333,7.0,200,3
91,86,10,7,14,18,2024-01-02 04:37:40.443107,2024-07-21 11:52:51.523893,241.8997024255833,4354.194643660499,1.8,2.0,8.6,201,3
92,76,10,13,12,7,2024-01-08 09:44:44.815130,2024-07-21 04:40:30.865575,243.5300854458537,1704.7105981209759,0.7,0.9231,7.6,194,4
93,71,10,7,12,12,2024-01-01 08:53:45.586041,2024-07-19 07:02:30.762389,203.71674465973715,2444.6009359168456,1.2,1.7143,7.1,199,6
94,76,10,9,12,16,2024-01-02 03:21:18.221472,2024-07-22 09:19:04.596004,225.399394869682,3606.390317914912,1.6,1.3333,7.6,202,3
95,70,10,6,4,6,2024-01-01 12:30:35.510590,2024-07-20 19:19:27.251408,218.53560207345808,1311.2136124407484,0.6,0.6667,7.0,201,4
96,69,10,9,7,10,2024-01-03 19:36:30.836502,2024-07-19 04:40:25.315050,248.78235948619937,2487.8235948619936,1.0,0.7778,6.9,197,6
97,86,10,15,15,7,2024-01-02 11:27:52.831348,2024-07-15 01:21:22.985704,294.70831664264506,2062.9582164985154,0.7,1.0,8.6,194,10
98,78,10,9,19,10,2024-01-03 00:33:56.199994,2024-07-24 06:17:21.133747,283.3208215235812,2833.2082152358116,1.0,2.1111,7.8,203,1
99,70,10,12,6,9,2024-01-01 00:34:46.516424,2024-07-24 09:30:25.715375,257.31427262710196,2315.828453643918,0.9,0.5,7.0,205,1
100,76,10,9,9,15,2024-01-01 18:49:13.031574,2024-07-24 10:13:04.983908,239.43426387089957,3591.5139580634936,1.5,1.0,7.6,204,1
101,76,10,11,10,15,2024-01-02 23:53:55.015078,2024-07-24 07:37:22.603563,203.8197670418012,3057.296505627018,1.5,0.9091,7.6,203,1
102,74,10,11,5,12,2024-01-02 14:19:38.085599,2024-07-24 05:55:01.970494,248.6880503977459,2984.256604772951,1.2,0.4545,7.4,203,1
103,77,10,16,19,10,2024-01-01 16:18:39.528831,2024-07-23 22:57:34.277309,295.40058961514603,2954.0058961514605,1.0,1.1875,7.7,204,1
104,74,10,7,20,9,2024-01-01 14:12:35.759863,2024-07-20 10:26:11.280256,178.5432515629229,1606.8892640663062,0.9,2.8571,7.4,200,4
105,81,10,13,10,9,2024-01-02 21:05:08.570069,2024-07-23 06:30:30.258495,276.57264327262203,2489.153789453598,0.9,0.7692,8.1,202,2
106,85,10,11,13,11,2024-01-01 03:55:57.793897,2024-07-22 20:18:44.828147,267.727342305782,2945.0007653636017,1.1,1.1818,8.5,203,2
107,75,10,16,3,11,2024-01-02 18:00:27.149974,2024-07-22 06:18:52.488118,192.47465299601055,2117.221182956116,1.1,0.1875,7.5,201,3
108,76,10,8,16,8,2024-01-01 01:24:21.938520,2024-07-23 02:12:33.730055,242.9762241561642,1943.8097932493135,0.8,2.0,7.6,204,2
109,79,10,6,13,11,2024-01-13 23:56:28.474223,2024-07-21 16:48:42.483525,251.83499056015683,2770.184896161725,1.1,2.1667,7.9,189,3
110,74,10,12,8,10,2024-01-05 21:51:34.614623,2024-07-24 09:13:20.440475,211.95259722318252,2119.525972231825,1.0,0.6667,7.4,200,1
111,78,10,16,8,13,2024-01-07 17:04:39.521903,2024-07-22 17:47:44.039008,249.48321807466743,3243.2818349706768,1.3,0.5,7.8,197,2
112,75,10,10,8,8,2024-01-06 17:25:27.559253,2024-07-22 21:53:06.090717,236.63619412821419,1893.0895530257135,0.8,0.8,7.5,198,2
113,82,10,12,12,16,2024-01-02 14:18:33.563689,2024-07-22 10:50:03.175032,246.70093435321388,3947.214949651422,1.6,1.0,8.2,201,2
114,80,10,8,15,12,2024-01-03 17:11:10.309991,2024-07-23 02:25:24.501361,208.9860969747194,2507.8331636966327,1.2,1.875,8.0,201,2
115,72,10,10,8,9,2024-01-02 06:33:14.668045,2024-07-23 21:47:18.428210,282.6132434125145,2543.519190712631,0.9,0.8,7.2,203,1
116,80,10,7,20,10,2024-01-01 19:25:41.589348,2024-07-22 23:57:59.597831,265.65877648987293,2656.5877648987293,1.0,2.8571,8.0,203,2
117,80,10,8,11,9,2024-01-01 16:39:16.981268,2024-07-22 18:18:14.343915,291.48385556991457,2623.3547001292313,0.9,1.375,8.0,203,2
118,76,10,15,9,10,2024-01-01 02:58:10.678917,2024-07-13 22:27:09.960183,251.66167898681798,2516.6167898681797,1.0,0.6,7.6,194,11
119,81,10,12,13,15,2024-01-02 10:38:56.820762,2024-07-22 19:47:46.899559,156.08796415133574,2341.319462270036,1.5,1.0833,8.1,202,2
120,81,10,16,10,9,2024-01-02 01:38:33.810926,2024-07-19 17:41:01.241444,249.58346610670313,2246.251194960328,0.9,0.625,8.1,199,5
121,73,10,9,14,11,2024-01-01 21:13:55.124690,2024-07-20 14:19:40.664274,296.5756944547867,3262.3326390026537,1.1,1.5556,7.3,200,4
122,78,10,11,10,8,2024-01-02 21:19:57.270934,2024-07-21 22:34:33.228869,234.4333276727343,1875.4666213818743,0.8,0.9091,7.8,201,3
123,73,10,12,8,13,2024-01-01 23:13:10.607419,2024-07-10 05:56:55.569903,229.99752304806557,2989.9677996248524,1.3,0.6667,7.3,190,15
124,73,10,10,11,6,2024-01-16 01:54:53.897293,2024-07-21 23:04:38.824693,241.07812370475725,1446.4687422285435,0.6,1.1,7.3,187,3
125,76,10,14,9,9,2024-01-01 09:48:44.729052,2024-07-22 12:13:04.863282,289.04117865816426,2601.3706079234785,0.9,0.6429,7.6,203,2
126,79,10,5,12,14,2024-01-01 03:07:21.824411,2024-07-23 21:34:17.753878,285.01070503175504,3990.1498704445703,1.4,2.4,7.9,204,1
127,74,10,6,12,13,2024-01-02 09:34:23.692729,2024-07-23 12:12:36.998494,187.32004769145,2435.1606199888497,1.3,2.0,7.4,203,1
128,70,10,11,10,17,2024-01-02 09:43:44.700415,2024-07-20 01:45:29.334964,227.47670092428203,3867.1039157127943,1.7,0.9091,7.0,199,5
129,68,10,8,9,9,2024-01-01 19:32:45.504598,2024-07-24 07:46:52.809264,140.7579311156923,1266.8213800412307,0.9,1.125,6.8,204,1
130,72,10,12,10,14,2024-01-01 22:57:43.745455,2024-07-22 17:24:55.479965,227.25133659507105,3181.5187123309947,1.4,0.8333,7.2,202,2
131,73,10,12,5,7,2024-01-03 21:34:36.015079,2024-07-24 08:10:09.651318,271.47578590450524,1900.3305013315367,0.7,0.4167,7.3,202,1
132,83,10,13,16,10,2024-01-02 08:59:11.551910,2024-07-20 12:36:58.035366,261.6952131508701,2616.952131508701,1.0,1.2308,8.3,200,4
133,68,10,11,7,9,2024-01-03 07:34:39.443197,2024-07-19 10:22:30.909477,254.3142021746833,2288.8278195721496,0.9,0.6364,6.8,198,5
134,77,10,15,12,11,2024-01-02 06:07:10.443784,2024-07-21 18:38:26.963550,201.4621676353244,2216.0838439885683,1.1,0.8,7.7,201,3
135,73,10,10,11,11,2024-01-02 12:08:05.648507,2024-07-21 22:10:09.599703,219.04428566797688,2409.4871423477457,1.1,1.1,7.3,201,3
136,74,10,10,9,14,2024-01-06 17:16:14.053229,2024-07-24 09:52:10.035079,243.87719321899388,3414.2807050659144,1.4,0.9,7.4,199,1
137,77,10,13,6,16,2024-01-01 08:57:46.166440,2024-07-14 09:44:57.131939,192.33732628303434,3077.3972205285495,1.6,0.4615,7.7,195,11
138,69,10,6,8,12,2024-01-01 03:30:46.559276,2024-07-24 05:00:48.735133,202.82359898244087,2433.8831877892903,1.2,1.3333,6.9,205,1
139,77,10,12,15,10,2024-01-05 15:56:39.021984,2024-07-23 23:04:28.348391,209.09599933431818,2090.959993343182,1.0,1.25,7.7,200,1
140,78,10,10,8,10,2024-01-08 08:34:03.321556,2024-07-22 09:35:36.990804,309.95972901038004,3099.5972901038003,1.0,0.8,7.8,196,3
141,71,10,13,8,10,2024-01-03 00:42:34.222629,2024-07-23 09:22:33.047172,237.40341146679597,2374.03411466796,1.0,0.6154,7.1,202,2
142,73,10,10,12,10,2024-01-02 00:48:49.662234,2024-07-22 15:24:53.445934,194.15421478502927,1941.5421478502926,1.0,1.2,7.3,202,2
143,75,10,11,11,8,2024-01-03 15:48:37.732806,2024-07-22 05:40:43.701905,185.82911210172108,1486.6328968137686,0.8,1.0,7.5,200,3
144,80,10,13,12,10,2024-01-01 15:23:26.397178,2024-07-24 00:42:02.395293,178.28779256821076,1782.8779256821076,1.0,0.9231,8.0,204,1
145,73,10,13,6,8,2024-01-02 11:46:10.282114,2024-07-23 22:07:36.501887,210.86768025234676,1686.941442018774,0.8,0.4615,7.3,203,1
146,71,10,11,11,11,2024-01-03 18:15:47.436549,2024-07-22 11:41:15.984322,185.247442159075,2037.721863749825,1.1,1.0,7.1,200,2
147,76,10,15,4,13,2024-01-02 03:52:14.821044,2024-07-23 19:19:16.153952,192.58748789351256,2503.6373426156633,1.3,0.2667,7.6,203,1
148,73,10,9,7,13,2024-01-03 12:03:26.308029,2024-07-24 02:05:25.333611,266.8755037772916,3469.3815491047912,1.3,0.7778,7.3,202,1
149,72,10,18,10,9,2024-01-02 15:03:18.919198,2024-07-15 09:50:48.812024,243.83247176308961,2194.4922458678066,0.9,0.5556,7.2,194,10
150,69,10,8,8,14,2024-01-07 02:12:58.445507,2024-07-22 18:25:53.072054,281.90070824703736,3946.609915458523,1.4,1.0,6.9,197,2
151,70,10,8,10,6,2024-01-04 14:49:27.663130,2024-07-19 16:54:55.307494,299.8568617356381,1799.1411704138286,0.6,1.25,7.0,197,5
152,66,10,4,10,7,2024-01-02 12:18:29.277955,2024-07-23 06:12:47.543369,176.4837966754119,1235.3865767278833,0.7,2.5,6.6,202,2
153,61,10,14,13,8,2024-01-05 19:18:09.138251,2024-07-21 23:35:46.661829,364.40999160841113,2915.279932867289,0.8,0.9286,6.1,198,3
154,78,10,6,18,13,2024-01-01 04:48:51.226081,2024-07-23 01:00:44.904011,305.22336474508813,3967.903741686146,1.3,3.0,7.8,203,2
155,80,10,14,13,10,2024-01-05 13:23:37.416177,2024-07-24 07:18:31.629515,286.37556585834534,2863.7556585834536,1.0,0.9286,8.0,200,1
156,69,10,8,10,10,2024-01-07 16:04:22.555245,2024-07-21 20:07:29.266495,173.76649907081213,1737.6649907081214,1.0,1.25,6.9,196,3
157,76,10,8,15,7,2024-01-01 18:19:10.073802,2024-07-21 07:38:43.767490,174.23438561040876,1219.6406992728614,0.7,1.875,7.6,201,4
158,70,10,11,11,11,2024-01-05 09:01:08.185762,2024-07-23 18:41:20.221077,313.1428191060595,3444.5710101666546,1.1,1.0,7.0,200,1
159,69,10,9,11,8,2024-01-02 02:09:41.717344,2024-07-19 16:47:56.472011,262.6189011623026,2100.951209298421,0.8,1.2222,6.9,199,5
160,66,10,12,8,8,2024-01-09 15:07:36.961819,2024-07-21 16:10:43.819000,306.66540852762154,2453.3232682209723,0.8,0.6667,6.6,194,3
161,67,10,9,9,14,2024-01-01 05:47:52.144393,2024-07-24 05:11:54.016350,239.3135339367688,3350.389475114763,1.4,1.0,6.7,204,1
162,77,10,9,7,12,2024-01-01 05:26:51.884910,2024-07-22 16:40:54.492047,292.5954103852237,3511.144924622685,1.2,0.7778,7.7,203,2
163,75,10,13,8,12,2024-01-03 01:42:18.304488,2024-07-23 12:26:29.124920,252.1439850887342,3025.7278210648105,1.2,0.6154,7.5,202,1
164,80,10,9,10,5,2024-01-06 15:57:53.504458,2024-07-23 17:54:12.593540,292.4142061263058,1462.071030631529,0.5,1.1111,8.0,199,1
165,75,10,7,8,14,2024-01-01 13:52:08.233188,2024-07-23 18:52:56.098434,191.33455137352024,2678.6837192292833,1.4,1.1429,7.5,204,1
166,72,10,6,12,12,2024-01-04 11:58:56.924543,2024-07-21 16:52:48.359798,221.90098790173928,2662.8118548208713,1.2,2.0,7.2,199,3
167,80,10,12,14,8,2024-01-03 21:58:38.173168,2024-07-23 01:39:04.483168,185.37884883928078,1483.0307907142462,0.8,1.1667,8.0,201,2
168,65,10,9,11,9,2024-01-04 11:53:28.284635,2024-07-23 10:14:38.970273,247.2342403628097,2225.108163265287,0.9,1.2222,6.5,200,1
169,68,10,9,7,8,2024-01-01 20:29:58.104879,2024-07-14 22:13:25.682666,150.0049573846365,1200.039659077092,0.8,0.7778,6.8,195,10
170,86,10,10,16,15,2024-01-03 11:33:33.012268,2024-07-23 09:50:41.259795,262.1784368928706,3932.676553393059,1.5,1.6,8.6,201,2
171,78,10,15,11,10,2024-01-04 17:49:16.610414,2024-07-21 12:40:55.878951,242.08111132538562,2420.811113253856,1.0,0.7333,7.8,198,3
172,88,10,10,10,14,2024-01-03 23:19:11.479733,2024-07-23 10:14:15.118152,193.16315538932986,2704.284175450618,1.4,1.0,8.8,201,1
173,81,10,11,12,11,2024-01-05 19:56:00.984741,2024-07-24 03:01:29.137121,236.1432068008281,2597.575274809109,1.1,1.0909,8.1,200,1
174,72,10,14,9,8,2024-01-02 23:12:48.927831,2024-07-20 11:31:51.260851,276.43374216699135,2211.469937335931,0.8,0.6429,7.2,199,4
175,71,10,10,14,10,2024-01-03 13:35:13.377061,2024-07-23 02:51:29.384681,328.92650194062486,3289.2650194062485,1.0,1.4,7.1,201,2
176,74,10,12,13,12,2024-01-01 00:01:35.004064,2024-07-18 07:14:54.128818,289.5210265268856,3474.252318322627,1.2,1.0833,7.4,199,7
177,74,10,18,5,9,2024-01-01 00:55:30.407369,2024-07-24 06:18:42.064628,274.70911231654344,2472.382010848891,0.9,0.2778,7.4,205,1
178,71,10,10,10,18,2024-01-04 13:21:17.714308,2024-07-23 11:05:39.405777,223.4829038820096,4022.6922698761728,1.8,1.0,7.1,200,1
179,85,10,11,13,13,2024-01-01 06:09:57.977729,2024-07-23 20:29:34.218602,308.44226324056604,4009.7494221273582,1.3,1.1818,8.5,204,1
